Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
LA,"Red River Parish, LA","3,553",192,5.1
LA,"Richland Parish, LA","7,704",518,6.3
LA,"Sabine Parish, LA","8,705",467,5.1
LA,"St. Bernard Parish, LA","18,885",969,4.9
LA,"St. Charles Parish, LA","24,049","1,085",4.3
LA,"St. Helena Parish, LA","4,013",260,6.1
LA,"St. James Parish, LA","8,675",554,6
LA,"St. John the Baptist Parish, LA","18,545","1,102",5.6
LA,"St. Landry Parish, LA","29,891","2,000",6.3
LA,"St. Martin Parish, LA","21,056","1,133",5.1
LA,"St. Mary Parish, LA","18,643","1,173",5.9
LA,"St. Tammany Parish, LA","114,335","4,965",4.2
LA,"Tangipahoa Parish, LA","51,437","3,007",5.5
LA,"Tensas Parish, LA","1,282",116,8.3
LA,"Terrebonne Parish, LA","44,140","2,145",4.6
LA,"Union Parish, LA","8,570",528,5.8
LA,"Vermilion Parish, LA","22,870","1,217",5.1
LA,"Vernon Parish, LA","14,906",977,6.2
LA,"Washington Parish, LA","15,713",990,5.9
LA,"Webster Parish, LA","13,609",884,6.1
LA,"West Baton Rouge Parish, LA","13,029",619,4.5
LA,"West Carroll Parish, LA","3,243",387,10.7
LA,"West Feliciana Parish, LA","5,158",220,4.1
LA,"Winn Parish, LA","4,558",309,6.3
ME,Maine,"671,759","20,980",3
ME,"Androscoggin County, ME","53,594","1,631",3
ME,"Aroostook County, ME","28,814","1,391",4.6
ME,"Cumberland County, ME","160,912","3,920",2.4
ME,"Franklin County, ME","13,693",548,3.8
ME,"Hancock County, ME","28,064","1,025",3.5
ME,"Kennebec County, ME","60,100","1,823",2.9
ME,"Knox County, ME","19,605",589,2.9
ME,"Lincoln County, ME","16,290",499,3
ME,"Oxford County, ME","25,381",952,3.6
ME,"Penobscot County, ME","74,339","2,497",3.2
ME,"Piscataquis County, ME","7,003",271,3.7
ME,"Sagadahoc County, ME","18,975",446,2.3
ME,"Somerset County, ME","21,428","1,001",4.5
ME,"Waldo County, ME","19,953",660,3.2
ME,"Washington County, ME","13,053",635,4.6
ME,"York County, ME","110,554","3,090",2.7
MD,Maryland,"3,143,967","116,700",3.6
MD,"Allegany County, MD","30,812","1,679",5.2
MD,"Anne Arundel County, MD","308,068","9,712",3.1
MD,"Baltimore County, MD","440,638","16,917",3.7
MD,"Calvert County, MD","48,888","1,596",3.2
MD,"Caroline County, MD","17,612",658,3.6
MD,"Carroll County, MD","93,645","2,821",2.9
MD,"Cecil County, MD","51,323","2,130",4
MD,"Charles County, MD","84,908","3,194",3.6
MD,"Dorchester County, MD","14,938",746,4.8
MD,"Frederick County, MD","131,453","4,308",3.2
MD,"Garrett County, MD","15,075",700,4.4
MD,"Harford County, MD","137,331","4,750",3.3
MD,"Howard County, MD","183,944","5,191",2.7
MD,"Kent County, MD","9,796",409,4
MD,"Montgomery County, MD","549,310","16,556",2.9
MD,"Prince George's County, MD","494,665","19,288",3.8
MD,"Queen Anne's County, MD","27,210",869,3.1
MD,"St. Mary's County, MD","55,506","1,903",3.3
MD,"Somerset County, MD","8,689",563,6.1
MD,"Talbot County, MD","18,665",662,3.4
MD,"Washington County, MD","72,347","2,912",3.9
MD,"Wicomico County, MD","49,327","2,397",4.6
MD,"Worcester County, MD","23,908","1,906",7.4
MD,"Baltimore city, MD","275,911","14,832",5.1
MA,Massachusetts,"3,706,556","110,881",2.9
MA,"Barnstable County, MA","110,989","4,448",3.9
MA,"Berkshire County, MA","63,035","2,285",3.5
MA,"Bristol County, MA","292,890","11,327",3.7
MA,"Dukes County, MA","9,255",395,4.1
MA,"Essex County, MA","417,092","12,779",3
MA,"Franklin County, MA","40,207","1,111",2.7
MA,"Hampden County, MA","220,767","9,423",4.1
MA,"Hampshire County, MA","88,479","2,458",2.7
MA,"Middlesex County, MA","907,777","21,488",2.3
MA,"Nantucket County/town, MA","7,342",319,4.2
MA,"Norfolk County, MA","385,482","10,001",2.5
MA,"Plymouth County, MA","277,913","8,675",3
MA,"Suffolk County, MA","449,136","12,032",2.6
MA,"Worcester County, MA","436,193","14,139",3.1
MI,Michigan,"4,735,826","201,440",4.1
MI,"Alcona County, MI","3,635",244,6.3
MI,"Alger County, MI","2,949",249,7.8
MI,"Allegan County, MI","60,325","1,950",3.1
MI,"Alpena County, MI","12,638",628,4.7
MI,"Antrim County, MI","9,791",530,5.1
MI,"Arenac County, MI","5,663",399,6.6
MI,"Baraga County, MI","3,015",204,6.3
MI,"Barry County, MI","30,638","1,027",3.2
MI,"Bay County, MI","47,704","2,334",4.7
MI,"Benzie County, MI","8,432",450,5.1
MI,"Berrien County, MI","70,483","2,971",4
MI,"Branch County, MI","18,600",756,3.9
MI,"Calhoun County, MI","59,943","2,559",4.1
MI,"Cass County, MI","23,442","1,049",4.3
MI,"Charlevoix County, MI","12,315",598,4.6
MI,"Cheboygan County, MI","9,627",920,8.7
MI,"Chippewa County, MI","15,022","1,009",6.3
MI,"Clare County, MI","11,010",718,6.1
MI,"Clinton County, MI","39,916","1,233",3
MI,"Crawford County, MI","5,285",314,5.6
MI,"Delta County, MI","16,282",899,5.2
MI,"Dickinson County, MI","11,777",520,4.2
MI,"Eaton County, MI","55,295","1,956",3.4
MI,"Emmet County, MI","16,816",956,5.4
MI,"Genesee County, MI","173,888","9,011",4.9
MI,"Gladwin County, MI","9,350",568,5.7
MI,"Gogebic County, MI","5,714",316,5.2
MI,"Grand Traverse County, MI","48,097","1,715",3.4
MI,"Gratiot County, MI","17,209",789,4.4
MI,"Hillsdale County, MI","19,592",854,4.2
MI,"Houghton County, MI","15,388",795,4.9
MI,"Huron County, MI","14,723",678,4.4
MI,"Ingham County, MI","145,943","5,318",3.5
MI,"Ionia County, MI","29,252","1,028",3.4
MI,"Iosco County, MI","9,610",610,6
MI,"Iron County, MI","4,878",284,5.5
MI,"Isabella County, MI","33,405","1,336",3.8
MI,"Jackson County, MI","71,335","2,790",3.8
MI,"Kalamazoo County, MI","129,316","4,402",3.3
MI,"Kalkaska County, MI","7,487",448,5.6
MI,"Kent County, MI","349,535","10,389",2.9
MI,"Keweenaw County, MI",823,61,6.9
MI,"Lake County, MI","3,472",237,6.4
MI,"Lapeer County, MI","39,273","2,244",5.4
MI,"Leelanau County, MI","10,139",392,3.7
MI,"Lenawee County, MI","44,663","1,791",3.9
MI,"Livingston County, MI","100,768","3,452",3.3
MI,"Luce County, MI","2,172",143,6.2
MI,"Mackinac County, MI","4,656",479,9.3
MI,"Macomb County, MI","432,001","19,124",4.2
MI,"Manistee County, MI","9,873",571,5.5
MI,"Marquette County, MI","30,975","1,568",4.8
MI,"Mason County, MI","12,996",670,4.9
MI,"Mecosta County, MI","17,390",857,4.7
MI,"Menominee County, MI","10,612",442,4
MI,"Midland County, MI","38,826","1,499",3.7
MI,"Missaukee County, MI","6,629",332,4.8
MI,"Monroe County, MI","72,541","2,939",3.9
MI,"Montcalm County, MI","27,196","1,154",4.1
MI,"Montmorency County, MI","2,748",250,8.3
MI,"Muskegon County, MI","73,860","3,289",4.3
MI,"Newaygo County, MI","22,413",987,4.2
MI,"Oakland County, MI","657,035","23,220",3.4
MI,"Oceana County, MI","11,403",717,5.9
MI,"Ogemaw County, MI","7,494",536,6.7
MI,"Ontonagon County, MI","1,947",143,6.8
MI,"Osceola County, MI","10,749",453,4
MI,"Oscoda County, MI","2,836",209,6.9
MI,"Otsego County, MI","11,062",576,4.9
MI,"Ottawa County, MI","156,664","4,438",2.8
MI,"Presque Isle County, MI","4,576",375,7.6
MI,"Roscommon County, MI","7,145",581,7.5
MI,"Saginaw County, MI","82,533","4,133",4.8
MI,"St. Clair County, MI","72,546","3,734",4.9
MI,"St. Joseph County, MI","26,783","1,193",4.3
MI,"Sanilac County, MI","18,565",925,4.7
MI,"Schoolcraft County, MI","3,093",233,7
MI,"Shiawassee County, MI","32,070","1,426",4.3
MI,"Tuscola County, MI","22,635","1,218",5.1
MI,"Van Buren County, MI","33,559","1,608",4.6
MI,"Washtenaw County, MI","192,472","5,726",2.9
MI,"Wayne County, MI","767,123","41,048",5.1
MI,"Wexford County, MI","14,185",669,4.5
MN,Minnesota,"3,009,156","100,492",3.2
MN,"Aitkin County, MN","6,818",450,6.2
MN,"Anoka County, MN","193,301","6,115",3.1
MN,"Becker County, MN","18,086",747,4
MN,"Beltrami County, MN","23,487","1,045",4.3
MN,"Benton County, MN","21,287",857,3.9
MN,"Big Stone County, MN","2,402",105,4.2
MN,"Blue Earth County, MN","39,748","1,130",2.8
MN,"Brown County, MN","13,912",523,3.6
MN,"Carlton County, MN","17,126",801,4.5
MN,"Carver County, MN","57,473","1,629",2.8
MN,"Cass County, MN","13,668",799,5.5
MN,"Chippewa County, MN","6,707",271,3.9
MN,"Chisago County, MN","29,106","1,140",3.8
MN,"Clay County, MN","35,165","1,103",3
MN,"Clearwater County, MN","4,130",371,8.2
MN,"Cook County, MN","2,988",135,4.3
MN,"Cottonwood County, MN","5,743",220,3.7
MN,"Crow Wing County, MN","31,005","1,405",4.3
MN,"Dakota County, MN","236,782","7,011",2.9
MN,"Dodge County, MN","11,577",405,3.4
MN,"Douglas County, MN","20,466",668,3.2
MN,"Faribault County, MN","6,783",294,4.2
MN,"Fillmore County, MN","11,279",385,3.3
MN,"Freeborn County, MN","15,659",557,3.4
MN,"Goodhue County, MN","26,410",830,3
MN,"Grant County, MN","3,176",148,4.5
MN,"Hennepin County, MN","692,855","19,676",2.8
MN,"Houston County, MN","10,115",336,3.2
MN,"Hubbard County, MN","9,495",541,5.4
MN,"Isanti County, MN","20,632",871,4.1
MN,"Itasca County, MN","20,656","1,307",6
MN,"Jackson County, MN","5,556",198,3.4
MN,"Kanabec County, MN","8,573",538,5.9
MN,"Kandiyohi County, MN","23,565",860,3.5
MN,"Kittson County, MN","2,299",87,3.6
MN,"Koochiching County, MN","5,608",382,6.4
MN,"Lac qui Parle County, MN","3,445",134,3.7
MN,"Lake County, MN","5,338",200,3.6
MN,"Lake of the Woods County, MN","2,370",102,4.1
MN,"Le Sueur County, MN","15,576",731,4.5
MN,"Lincoln County, MN","3,166",124,3.8
MN,"Lyon County, MN","14,163",468,3.2
MN,"McLeod County, MN","18,690",718,3.7
MN,"Mahnomen County, MN","2,196",109,4.7
MN,"Marshall County, MN","5,128",319,5.9
MN,"Martin County, MN","9,764",381,3.8
MN,"Meeker County, MN","12,907",519,3.9
MN,"Mille Lacs County, MN","12,347",708,5.4
MN,"Morrison County, MN","16,738",915,5.2
MN,"Mower County, MN","19,842",621,3
MN,"Murray County, MN","4,668",209,4.3
MN,"Nicollet County, MN","20,564",534,2.5
MN,"Nobles County, MN","10,950",339,3
MN,"Norman County, MN","3,127",157,4.8
MN,"Olmsted County, MN","86,958","2,278",2.6
MN,"Otter Tail County, MN","30,335","1,320",4.2
MN,"Pennington County, MN","8,365",400,4.6
MN,"Pine County, MN","14,318",836,5.5
MN,"Pipestone County, MN","4,778",172,3.5
MN,"Polk County, MN","16,007",665,4
MN,"Pope County, MN","6,378",204,3.1
MN,"Ramsey County, MN","283,424","8,694",3
MN,"Red Lake County, MN","2,111",118,5.3
MN,"Redwood County, MN","7,392",284,3.7
MN,"Renville County, MN","8,275",394,4.5
MN,"Rice County, MN","36,169","1,164",3.1
MN,"Rock County, MN","5,556",131,2.3
MN,"Roseau County, MN","7,570",305,3.9
MN,"St. Louis County, MN","98,297","4,098",4
MN,"Scott County, MN","81,967","2,309",2.7
MN,"Sherburne County, MN","51,063","1,858",3.5
MN,"Sibley County, MN","8,331",330,3.8
MN,"Stearns County, MN","88,280","2,897",3.2
MN,"Steele County, MN","20,549",672,3.2
MN,"Stevens County, MN","5,330",148,2.7
MN,"Swift County, MN","4,737",216,4.4
MN,"Todd County, MN","13,012",603,4.4
MN,"Traverse County, MN","1,715",66,3.7
MN,"Wabasha County, MN","12,018",414,3.3
MN,"Wadena County, MN","5,595",367,6.2
MN,"Waseca County, MN","8,709",350,3.9
MN,"Washington County, MN","140,553","4,067",2.8
MN,"Watonwan County, MN","6,267",264,4
MN,"Wilkin County, MN","3,397",119,3.4
MN,"Winona County, MN","28,005",835,2.9
MN,"Wright County, MN","73,883","2,485",3.3
MN,"Yellow Medicine County, MN","5,204",205,3.8
MS,Mississippi,"1,206,892","69,226",5.4
MS,"Adams County, MS","10,466",794,7.1
MS,"Alcorn County, MS","15,300",757,4.7
MS,"Amite County, MS","4,109",308,7
MS,"Attala County, MS","6,592",439,6.2
MS,"Benton County, MS","2,868",187,6.1
MS,"Bolivar County, MS","11,397",863,7
MS,"Calhoun County, MS","5,350",310,5.5
MS,"Carroll County, MS","3,253",218,6.3
MS,"Chickasaw County, MS","6,531",390,5.6
MS,"Choctaw County, MS","3,552",205,5.5
MS,"Claiborne County, MS","2,705",325,10.7
MS,"Clarke County, MS","5,554",369,6.2
MS,"Clay County, MS","7,213",581,7.5
MS,"Coahoma County, MS","7,722",642,7.7
MS,"Copiah County, MS","10,490",743,6.6
MS,"Covington County, MS","7,745",398,4.9
MS,"DeSoto County, MS","87,382","4,017",4.4
MS,"Forrest County, MS","31,575","1,707",5.1
MS,"Franklin County, MS","2,616",191,6.8
MS,"George County, MS","8,185",656,7.4
MS,"Greene County, MS","4,014",341,7.8
MS,"Grenada County, MS","9,014",480,5.1
MS,"Hancock County, MS","17,720","1,056",5.6
MS,"Harrison County, MS","82,022","4,457",5.2
MS,"Hinds County, MS","101,524","5,621",5.2
MS,"Holmes County, MS","5,089",583,10.3
MS,"Humphreys County, MS","2,003",224,10.1
MS,"Issaquena County, MS",338,43,11.3
MS,"Itawamba County, MS","10,034",495,4.7
MS,"Jackson County, MS","55,058","3,533",6
MS,"Jasper County, MS","5,762",423,6.8
MS,"Jefferson County, MS","1,714",314,15.5
MS,"Jefferson Davis County, MS","3,840",284,6.9
MS,"Jones County, MS","24,839","1,413",5.4
MS,"Kemper County, MS","3,271",284,8
MS,"Lafayette County, MS","27,113","1,280",4.5
MS,"Lamar County, MS","29,435","1,287",4.2
MS,"Lauderdale County, MS","28,862","1,674",5.5
MS,"Lawrence County, MS","4,310",313,6.8
MS,"Leake County, MS","7,527",441,5.5
MS,"Lee County, MS","39,409","1,800",4.4
MS,"Leflore County, MS","9,262",756,7.5
MS,"Lincoln County, MS","13,813",822,5.6
MS,"Lowndes County, MS","24,086","1,355",5.3
MS,"Madison County, MS","51,001","2,327",4.4
MS,"Marion County, MS","9,397",543,5.5
MS,"Marshall County, MS","13,673",832,5.7
MS,"Monroe County, MS","14,683",851,5.5
MS,"Montgomery County, MS","3,721",239,6
MS,"Neshoba County, MS","9,640",604,5.9
MS,"Newton County, MS","8,371",485,5.5
MS,"Noxubee County, MS","3,507",276,7.3
MS,"Oktibbeha County, MS","21,447","1,275",5.6
MS,"Panola County, MS","11,726",827,6.6
MS,"Pearl River County, MS","22,609","1,238",5.2
MS,"Perry County, MS","4,004",289,6.7
MS,"Pike County, MS","13,575",944,6.5
MS,"Pontotoc County, MS","14,133",640,4.3
MS,"Prentiss County, MS","10,781",557,4.9
MS,"Quitman County, MS","2,182",196,8.2
MS,"Rankin County, MS","73,226","3,004",3.9
MS,"Scott County, MS","12,149",572,4.5
MS,"Sharkey County, MS","1,469",135,8.4
MS,"Simpson County, MS","10,209",556,5.2
MS,"Smith County, MS","6,466",356,5.2
MS,"Stone County, MS","6,425",451,6.6
MS,"Sunflower County, MS","7,051",685,8.9
MS,"Tallahatchie County, MS","4,970",306,5.8
MS,"Tate County, MS","11,696",698,5.6
MS,"Tippah County, MS","8,960",482,5.1
MS,"Tishomingo County, MS","8,189",440,5.1
MS,"Tunica County, MS","4,183",276,6.2
MS,"Union County, MS","13,628",594,4.2
MS,"Walthall County, MS","4,574",359,7.3
MS,"Warren County, MS","19,109","1,226",6
MS,"Washington County, MS","15,701","1,284",7.6
MS,"Wayne County, MS","6,990",454,6.1
MS,"Webster County, MS","3,762",225,5.6
MS,"Wilkinson County, MS","2,526",285,10.1
MS,"Winston County, MS","6,973",452,6.1
MS,"Yalobusha County, MS","4,698",285,5.7
MS,"Yazoo County, MS","8,825",599,6.4
MO,Missouri,"2,981,688","101,557",3.3
MO,"Adair County, MO","9,945",400,3.9
MO,"Andrew County, MO","9,494",273,2.8
MO,"Atchison County, MO","2,603",100,3.7
MO,"Audrain County, MO","10,337",360,3.4
MO,"Barry County, MO","15,044",545,3.5
MO,"Barton County, MO","5,026",176,3.4
MO,"Bates County, MO","7,590",318,4
MO,"Benton County, MO","6,855",346,4.8
MO,"Bollinger County, MO","5,270",214,3.9
MO,"Boone County, MO","95,937","2,363",2.4
MO,"Buchanan County, MO","43,301","1,368",3.1
MO,"Butler County, MO","17,140",846,4.7
MO,"Caldwell County, MO","4,230",139,3.2
MO,"Callaway County, MO","20,758",625,2.9
MO,"Camden County, MO","18,013",848,4.5
MO,"Cape Girardeau County, MO","39,654","1,197",2.9
MO,"Carroll County, MO","4,653",155,3.2
MO,"Carter County, MO","2,421",125,4.9
MO,"Cass County, MO","53,239","1,656",3
MO,"Cedar County, MO","5,550",214,3.7
MO,"Chariton County, MO","3,614",113,3
MO,"Christian County, MO","43,771","1,227",2.7
MO,"Clark County, MO","3,091",114,3.6
MO,"Clay County, MO","132,701","3,909",2.9
MO,"Clinton County, MO","10,414",324,3
MO,"Cole County, MO","38,037","1,014",2.6
MO,"Cooper County, MO","7,205",276,3.7
MO,"Crawford County, MO","10,566",414,3.8
MO,"Dade County, MO","3,434",111,3.1
MO,"Dallas County, MO","6,762",319,4.5
MO,"Daviess County, MO","3,965",137,3.3
MO,"DeKalb County, MO","4,689",149,3.1
MO,"Dent County, MO","6,044",225,3.6
MO,"Douglas County, MO","4,849",258,5.1
MO,"Dunklin County, MO","10,956",642,5.5
MO,"Franklin County, MO","51,511","1,715",3.2
MO,"Gasconade County, MO","7,470",262,3.4
MO,"Gentry County, MO","3,433",96,2.7
MO,"Greene County, MO","147,461","4,074",2.7
MO,"Grundy County, MO","4,240",154,3.5
MO,"Harrison County, MO","3,695",127,3.3
MO,"Henry County, MO","9,364",364,3.7
MO,"Hickory County, MO","3,681",161,4.2
MO,"Holt County, MO","2,515",73,2.8
MO,"Howard County, MO","4,746",152,3.1
MO,"Howell County, MO","15,870",671,4.1
MO,"Iron County, MO","3,365",169,4.8
MO,"Jackson County, MO","350,008","13,531",3.7
MO,"Jasper County, MO","55,590","1,714",3
MO,"Jefferson County, MO","114,498","3,679",3.1
MO,"Johnson County, MO","22,247",858,3.7
MO,"Knox County, MO","1,720",52,2.9
MO,"Laclede County, MO","16,190","1,196",6.9
MO,"Lafayette County, MO","16,328",519,3.1
MO,"Lawrence County, MO","17,385",633,3.5
MO,"Lewis County, MO","4,843",160,3.2
MO,"Lincoln County, MO","27,497",951,3.3
MO,"Linn County, MO","4,875",249,4.9
MO,"Livingston County, MO","7,170",187,2.5
MO,"McDonald County, MO","10,334",356,3.3
MO,"Macon County, MO","7,280",255,3.4
MO,"Madison County, MO","5,295",189,3.4
MO,"Maries County, MO","3,747",137,3.5
MO,"Marion County, MO","14,104",461,3.2
MO,"Mercer County, MO","1,802",59,3.2
MO,"Miller County, MO","11,850",463,3.8
MO,"Mississippi County, MO","5,555",237,4.1
MO,"Moniteau County, MO","7,097",216,3
MO,"Monroe County, MO","3,711",161,4.2
MO,"Montgomery County, MO","5,558",180,3.1
MO,"Morgan County, MO","7,776",351,4.3
MO,"New Madrid County, MO","7,880",356,4.3
MO,"Newton County, MO","26,498",894,3.3
MO,"Nodaway County, MO","10,468",322,3
MO,"Oregon County, MO","3,824",157,3.9
MO,"Osage County, MO","6,936",170,2.4
MO,"Ozark County, MO","3,214",198,5.8
MO,"Pemiscot County, MO","6,043",321,5
MO,"Perry County, MO","9,801",264,2.6
MO,"Pettis County, MO","20,227",744,3.5
MO,"Phelps County, MO","19,177",651,3.3
MO,"Pike County, MO","7,224",268,3.6
MO,"Platte County, MO","57,239","1,566",2.7
MO,"Polk County, MO","14,081",503,3.4
MO,"Pulaski County, MO","14,094",598,4.1
MO,"Putnam County, MO","2,207",84,3.7
MO,"Ralls County, MO","5,484",178,3.1
MO,"Randolph County, MO","9,978",402,3.9
MO,"Ray County, MO","10,632",401,3.6
MO,"Reynolds County, MO","2,929",113,3.7
MO,"Ripley County, MO","4,761",278,5.5
MO,"St. Charles County, MO","221,305","5,780",2.5
MO,"St. Clair County, MO","3,577",172,4.6
MO,"Ste. Genevieve County, MO","8,950",247,2.7
MO,"St. Francois County, MO","25,658",979,3.7
MO,"St. Louis County, MO","516,722","16,363",3.1
MO,"Saline County, MO","10,267",341,3.2
MO,"Schuyler County, MO","1,862",86,4.4
MO,"Scotland County, MO","2,311",73,3.1
MO,"Scott County, MO","19,293",707,3.5
MO,"Shannon County, MO","3,048",180,5.6
MO,"Shelby County, MO","2,970",91,3
MO,"Stoddard County, MO","12,480",618,4.7
MO,"Stone County, MO","13,185",688,5
MO,"Sullivan County, MO","2,589",95,3.5
MO,"Taney County, MO","25,753","1,389",5.1
MO,"Texas County, MO","8,607",402,4.5
MO,"Vernon County, MO","9,133",333,3.5
MO,"Warren County, MO","17,446",525,2.9
MO,"Washington County, MO","9,780",461,4.5
MO,"Wayne County, MO","5,050",256,4.8
MO,"Webster County, MO","16,692",617,3.6
MO,"Worth County, MO","1,138",31,2.7
MO,"Wright County, MO","7,101",394,5.3
MO,"St. Louis city, MO","147,111","5,955",3.9
MT,Montana,"514,917","18,580",3.5
MT,"Beaverhead County, MT","4,922",149,2.9
MT,"Big Horn County, MT","4,475",357,7.4
MT,"Blaine County, MT","2,399",88,3.5
MT,"Broadwater County, MT","2,482",103,4
MT,"Carbon County, MT","5,293",189,3.4
MT,"Carter County, MT",626,18,2.8
MT,"Cascade County, MT","36,651","1,288",3.4
MT,"Chouteau County, MT","2,389",66,2.7
MT,"Custer County, MT","5,886",174,2.9
MT,"Daniels County, MT",875,18,2
MT,"Dawson County, MT","4,467",111,2.4
MT,"Deer Lodge County, MT","4,877",161,3.2
MT,"Fallon County, MT","1,674",30,1.8
MT,"Fergus County, MT","5,856",188,3.1
MT,"Flathead County, MT","45,646","2,246",4.7
MT,"Gallatin County, MT","67,205","1,555",2.3
MT,"Garfield County, MT",720,18,2.4
MT,"Glacier County, MT","5,266",427,7.5
MT,"Golden Valley County, MT",352,15,4.1
MT,"Granite County, MT","1,591",96,5.7
MT,"Hill County, MT","7,360",281,3.7
MT,"Jefferson County, MT","5,509",189,3.3
MT,"Judith Basin County, MT",919,29,3.1
MT,"Lake County, MT","12,644",557,4.2
MT,"Lewis and Clark County, MT","34,759","1,065",3
MT,"Liberty County, MT",929,24,2.5
MT,"Lincoln County, MT","7,499",586,7.2
MT,"McCone County, MT",932,19,2
MT,"Madison County, MT","4,654",154,3.2
MT,"Meagher County, MT",922,33,3.5
MT,"Mineral County, MT","1,657",100,5.7
MT,"Missoula County, MT","61,776","2,049",3.2
MT,"Musselshell County, MT","2,177",88,3.9
MT,"Park County, MT","8,606",305,3.4
MT,"Petroleum County, MT",269,10,3.6
MT,"Phillips County, MT","1,813",70,3.7
MT,"Pondera County, MT","2,570",101,3.8
MT,"Powder River County, MT",936,23,2.4
MT,"Powell County, MT","2,865",108,3.6
MT,"Prairie County, MT",459,18,3.8
MT,"Ravalli County, MT","19,411",819,4
MT,"Richland County, MT","5,724",156,2.7
MT,"Roosevelt County, MT","4,308",194,4.3
MT,"Rosebud County, MT","3,635",192,5
MT,"Sanders County, MT","4,559",285,5.9
MT,"Sheridan County, MT","1,702",39,2.2
MT,"Silver Bow County, MT","16,542",649,3.8
MT,"Stillwater County, MT","5,018",162,3.1
MT,"Sweet Grass County, MT","1,748",50,2.8
MT,"Teton County, MT","2,650",90,3.3
MT,"Toole County, MT","2,064",51,2.4
MT,"Treasure County, MT",325,9,2.7
MT,"Valley County, MT","3,950",129,3.2
MT,"Wheatland County, MT",755,30,3.8
MT,"Wibaux County, MT",449,14,3
MT,"Yellowstone County, MT","79,173","2,608",3.2
NE,Nebraska,"1,003,680","31,560",3
NE,"Adams County, NE","16,262",530,3.2
NE,"Antelope County, NE","3,467",91,2.6
NE,"Arthur County, NE",212,12,5.4
NE,"Banner County, NE",363,14,3.7
NE,"Blaine County, NE",246,13,5
NE,"Boone County, NE","2,882",81,2.7
NE,"Box Butte County, NE","5,247",172,3.2
NE,"Boyd County, NE","1,042",36,3.3
NE,"Brown County, NE","1,344",49,3.5
NE,"Buffalo County, NE","27,048",729,2.6
NE,"Burt County, NE","3,366",117,3.4
NE,"Butler County, NE","4,472",119,2.6
NE,"Cass County, NE","13,117",453,3.3
NE,"Cedar County, NE","4,402",113,2.5
NE,"Chase County, NE","2,225",52,2.3
NE,"Cherry County, NE","3,308",81,2.4
NE,"Cheyenne County, NE","4,253",163,3.7
NE,"Clay County, NE","3,192",106,3.2
NE,"Colfax County, NE","5,429",152,2.7
NE,"Cuming County, NE","4,571",125,2.7
NE,"Custer County, NE","6,261",155,2.4
NE,"Dakota County, NE","10,369",422,3.9
NE,"Dawes County, NE","4,832",146,2.9
NE,"Dawson County, NE","12,667",389,3
NE,"Deuel County, NE",929,28,2.9
NE,"Dixon County, NE","2,941",93,3.1
NE,"Dodge County, NE","18,931",570,2.9
NE,"Douglas County, NE","289,816","9,771",3.3
NE,"Dundy County, NE","1,141",30,2.6
NE,"Fillmore County, NE","3,080",82,2.6
NE,"Franklin County, NE","1,409",50,3.4
NE,"Frontier County, NE","1,560",53,3.3
NE,"Furnas County, NE","2,511",72,2.8
NE,"Gage County, NE","10,619",391,3.6
NE,"Garden County, NE","1,071",32,2.9
NE,"Garfield County, NE","1,137",31,2.7
NE,"Gosper County, NE","1,080",29,2.6
NE,"Grant County, NE",412,12,2.8
NE,"Greeley County, NE","1,186",36,2.9
NE,"Hall County, NE","30,801","1,102",3.5
NE,"Hamilton County, NE","4,624",145,3
NE,"Harlan County, NE","1,745",51,2.8
NE,"Hayes County, NE",598,15,2.4
NE,"Hitchcock County, NE","1,223",43,3.4
NE,"Holt County, NE","5,613",150,2.6
NE,"Hooker County, NE",404,13,3.1
NE,"Howard County, NE","3,247",118,3.5
NE,"Jefferson County, NE","4,030",113,2.7
NE,"Johnson County, NE","1,992",72,3.5
NE,"Kearney County, NE","3,705",86,2.3
NE,"Keith County, NE","4,444",148,3.2
NE,"Keya Paha County, NE",574,15,2.5
NE,"Kimball County, NE","1,970",61,3
NE,"Knox County, NE","4,473",138,3
NE,"Lancaster County, NE","172,276","4,910",2.8
NE,"Lincoln County, NE","17,689",638,3.5
NE,"Logan County, NE",459,14,3
NE,"Loup County, NE",389,16,4
NE,"McPherson County, NE",431,12,2.7
NE,"Madison County, NE","19,258",558,2.8
NE,"Merrick County, NE","3,885",128,3.2
NE,"Morrill County, NE","2,532",75,2.9
NE,"Nance County, NE","1,917",59,3
NE,"Nemaha County, NE","3,471",132,3.7
NE,"Nuckolls County, NE","2,340",64,2.7
NE,"Otoe County, NE","8,159",270,3.2
NE,"Pawnee County, NE","1,435",43,2.9
NE,"Perkins County, NE","1,779",42,2.3
NE,"Phelps County, NE","4,838",131,2.6
NE,"Pierce County, NE","3,985",110,2.7
NE,"Platte County, NE","17,153",515,2.9
NE,"Polk County, NE","2,850",81,2.8
NE,"Red Willow County, NE","5,689",161,2.8
NE,"Richardson County, NE","4,103",135,3.2
NE,"Rock County, NE",844,27,3.1
NE,"Saline County, NE","7,133",239,3.2
NE,"Sarpy County, NE","93,801","2,798",2.9
NE,"Saunders County, NE","10,858",311,2.8
NE,"Scotts Bluff County, NE","17,614",673,3.7
NE,"Seward County, NE","8,669",262,2.9
NE,"Sheridan County, NE","2,599",74,2.8
NE,"Sherman County, NE","1,637",54,3.2
NE,"Sioux County, NE",725,21,2.8
