Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
CA,"San Bernardino County, CA","930,709","37,010",3.8
CA,"San Diego County, CA","1,539,948","50,643",3.2
CA,"San Francisco County/city, CA","570,412","12,774",2.2
CA,"San Joaquin County, CA","307,854","19,223",5.9
CA,"San Luis Obispo County, CA","136,914","4,017",2.9
CA,"San Mateo County, CA","450,647","9,397",2
CA,"Santa Barbara County, CA","209,843","8,039",3.7
CA,"Santa Clara County, CA","1,027,527","26,196",2.5
CA,"Santa Cruz County, CA","135,530","6,747",4.7
CA,"Shasta County, CA","70,878","3,475",4.7
CA,"Sierra County, CA","1,255",71,5.4
CA,"Siskiyou County, CA","16,109","1,118",6.5
CA,"Solano County, CA","201,672","7,855",3.7
CA,"Sonoma County, CA","252,428","6,966",2.7
CA,"Stanislaus County, CA","228,753","14,701",6
CA,"Sutter County, CA","42,440","3,345",7.3
CA,"Tehama County, CA","24,228","1,422",5.5
CA,"Trinity County, CA","4,436",257,5.5
CA,"Tulare County, CA","184,353","19,627",9.6
CA,"Tuolumne County, CA","20,366",951,4.5
CA,"Ventura County, CA","408,169","15,221",3.6
CA,"Yolo County, CA","104,220","4,438",4.1
CA,"Yuba County, CA","28,182","1,815",6.1
CO,Colorado,"3,062,098","86,668",2.8
CO,"Adams County, CO","267,375","8,065",2.9
CO,"Alamosa County, CO","8,413",313,3.6
CO,"Arapahoe County, CO","358,574","9,930",2.7
CO,"Archuleta County, CO","6,717",220,3.2
CO,"Baca County, CO","2,138",37,1.7
CO,"Bent County, CO","1,863",56,2.9
CO,"Boulder County, CO","192,351","4,640",2.4
CO,"Broomfield County/city, CO","39,528",992,2.4
CO,"Chaffee County, CO","9,636",235,2.4
CO,"Cheyenne County, CO","1,154",19,1.6
CO,"Clear Creek County, CO","5,960",150,2.5
CO,"Conejos County, CO","4,013",152,3.6
CO,"Costilla County, CO","1,814",74,3.9
CO,"Crowley County, CO","1,460",65,4.3
CO,"Custer County, CO","2,025",63,3
CO,"Delta County, CO","14,035",484,3.3
CO,"Denver County/city, CO","409,974","11,348",2.7
CO,"Dolores County, CO","1,129",35,3
CO,"Douglas County, CO","191,586","4,662",2.4
CO,"Eagle County, CO","36,241",832,2.2
CO,"Elbert County, CO","15,009",335,2.2
CO,"El Paso County, CO","331,453","11,282",3.3
CO,"Fremont County, CO","14,548",703,4.6
CO,"Garfield County, CO","32,021",889,2.7
CO,"Gilpin County, CO","3,732",88,2.3
CO,"Grand County, CO","9,765",213,2.1
CO,"Gunnison County, CO","11,346",248,2.1
CO,"Hinsdale County, CO",422,16,3.7
CO,"Huerfano County, CO","2,396",146,5.7
CO,"Jackson County, CO",980,23,2.3
CO,"Jefferson County, CO","330,124","8,598",2.5
CO,"Kiowa County, CO",950,15,1.6
CO,"Kit Carson County, CO","4,292",73,1.7
CO,"Lake County, CO","4,878",116,2.3
CO,"La Plata County, CO","31,495",810,2.5
CO,"Larimer County, CO","201,624","4,859",2.4
CO,"Las Animas County, CO","6,377",258,3.9
CO,"Lincoln County, CO","2,375",56,2.3
CO,"Logan County, CO","10,904",263,2.4
CO,"Mesa County, CO","73,986","2,628",3.4
CO,"Mineral County, CO",521,12,2.3
CO,"Moffat County, CO","7,195",255,3.4
CO,"Montezuma County, CO","12,486",552,4.2
CO,"Montrose County, CO","21,327",683,3.1
CO,"Morgan County, CO","16,146",436,2.6
CO,"Otero County, CO","8,150",345,4.1
CO,"Ouray County, CO","2,383",71,2.9
CO,"Park County, CO","11,010",282,2.5
CO,"Phillips County, CO","2,589",42,1.6
CO,"Pitkin County, CO","11,041",354,3.1
CO,"Prowers County, CO","6,240",168,2.6
CO,"Pueblo County, CO","73,147","3,129",4.1
CO,"Rio Blanco County, CO","2,908",111,3.7
CO,"Rio Grande County, CO","5,280",226,4.1
CO,"Routt County, CO","16,132",359,2.2
CO,"Saguache County, CO","3,462",144,4
CO,"San Juan County, CO",553,17,3
CO,"San Miguel County, CO","5,737",163,2.8
CO,"Sedgwick County, CO","1,206",25,2
CO,"Summit County, CO","22,760",419,1.8
CO,"Teller County, CO","12,425",396,3.1
CO,"Washington County, CO","2,941",59,2
CO,"Weld County, CO","165,670","4,331",2.5
CO,"Yuma County, CO","6,126",98,1.6
CT,Connecticut,"1,842,164","71,366",3.7
CT,"Fairfield County, CT","463,547","17,476",3.6
CT,"Hartford County, CT","464,533","18,770",3.9
CT,"Litchfield County, CT","101,543","3,639",3.5
CT,"Middlesex County, CT","90,703","2,993",3.2
CT,"New Haven County, CT","443,514","18,099",3.9
CT,"New London County, CT","132,423","4,963",3.6
CT,"Tolland County, CT","84,207","2,840",3.3
CT,"Windham County, CT","61,697","2,584",4
DE,Delaware,"468,844","18,419",3.8
DE,"Kent County, DE","76,097","3,314",4.2
DE,"New Castle County, DE","289,100","11,048",3.7
DE,"Sussex County, DE","103,648","4,058",3.8
DC,District of Columbia,"387,482","22,487",5.5
DC,District of Columbia,"387,482","22,487",5.5
FL,Florida,"10,016,060","320,689",3.1
FL,"Alachua County, FL","135,112","4,105",2.9
FL,"Baker County, FL","11,484",368,3.1
FL,"Bay County, FL","80,980","3,255",3.9
FL,"Bradford County, FL","10,715",347,3.1
FL,"Brevard County, FL","275,025","9,062",3.2
FL,"Broward County, FL","1,008,813","31,706",3
FL,"Calhoun County, FL","4,622",197,4.1
FL,"Charlotte County, FL","69,239","2,626",3.7
FL,"Citrus County, FL","45,096","2,281",4.8
FL,"Clay County, FL","104,467","3,251",3
FL,"Collier County, FL","175,040","5,586",3.1
FL,"Columbia County, FL","28,831",966,3.2
FL,"DeSoto County, FL","13,686",499,3.5
FL,"Dixie County, FL","5,606",222,3.8
FL,"Duval County, FL","475,890","16,056",3.3
