Stabr,Area_name,POVALL_2019,PCTPOVALL_2019
CT,Hartford County,"93,694",10.8
CT,Litchfield County,"12,741",7.1
CT,Middlesex County,"11,024",7
CT,New Haven County,"99,423",12
CT,New London County,"19,739",7.8
CT,Tolland County,"10,559",7.8
CT,Windham County,"12,874",11.5
DE,Delaware,"106,227",11.2
DE,Kent County,"22,195",12.7
DE,New Castle County,"56,289",10.4
DE,Sussex County,"27,742",12.1
DC,District of Columbia,"94,985",14.1
DC,District of Columbia,"94,985",14.1
FL,Florida,"2,681,832",12.7
FL,Alachua County,"46,916",18.4
FL,Baker County,"3,914",14.9
FL,Bay County,"20,643",12.1
FL,Bradford County,"5,011",21
FL,Brevard County,"55,578",9.4
FL,Broward County,"237,486",12.3
FL,Calhoun County,"2,508",20.3
FL,Charlotte County,"21,188",11.4
FL,Citrus County,"22,291",15.2
FL,Clay County,"18,095",8.3
FL,Collier County,"35,928",9.4
FL,Columbia County,"10,338",15.6
FL,DeSoto County,"7,626",21.8
FL,Dixie County,"3,338",22.2
FL,Duval County,"126,963",13.5
FL,Escambia County,"46,519",15.5
FL,Flagler County,"11,049",9.7
FL,Franklin County,"1,995",19.2
FL,Gadsden County,"8,472",19.7
FL,Gilchrist County,"2,601",15
FL,Glades County,"2,377",19.3
FL,Gulf County,"1,848",14
FL,Hamilton County,"3,794",32.5
FL,Hardee County,"5,614",22.1
FL,Hendry County,"8,086",19.5
FL,Hernando County,"23,779",12.4
FL,Highlands County,"16,519",15.8
FL,Hillsborough County,"195,684",13.5
FL,Holmes County,"3,587",20.1
FL,Indian River County,"18,179",11.5
FL,Jackson County,"7,769",19.4
FL,Jefferson County,"2,276",17.6
FL,Lafayette County,"1,289",18
FL,Lake County,"39,419",10.9
FL,Lee County,"85,295",11.2
FL,Leon County,"58,203",20.8
FL,Levy County,"7,458",18.2
FL,Liberty County,"1,453",23
FL,Madison County,"3,732",22.7
FL,Manatee County,"44,991",11.3
FL,Marion County,"52,950",14.9
FL,Martin County,"14,000",8.9
FL,Miami-Dade County,"419,056",15.7
FL,Monroe County,"7,239",9.9
